State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Rural_Households,Urban_Households,Households_with_Internet,Housholds_with_Electric_Lighting,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Sex_Ratio,Literacy_Rate,Gender_Parity_Index ,Illiterate_Education_Rate,Literate_Education_Rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,856350,626997,2399901,275970,15422,1377,25510,617,322,597466,220248,5512,566108,232470,344167,281752,225957,143143,100226,19277,1346992,1030640,2377632,1536378,704551,422522,1001.0,54.0,0.7301587301587301,43.0,57.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,1338474,972486,3599372,443456,20463,932,341,1417,309,902997,341431,8606,897970,462273,720357,582075,331793,162175,144915,23341,2426929,1369069,3795998,2189396,1104565,739612,977.0,57.0,0.7384615384615385,36.0,64.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1484794,1183084,3737588,397870,24129,867,253,1322,358,907970,395900,13763,944555,522961,770836,673197,548336,265199,246409,36017,3062955,1170993,4233948,2148179,1159053,807430,997.0,64.0,0.8028169014084507,28.0,72.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,1716933,1571644,4983330,77777,77825,738,413,4149,403,1199479,406362,22411,1297273,669420,947606,797497,521562,271809,263023,47702,3518619,1524603,5043222,2724328,1478954,948122,1006.0,64.0,0.9104477611940298,30.0,70.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,1634726,1325715,4217597,559770,89763,764,323,3282,332,1069877,513113,19383,1186028,736270,845810,674957,453446,246580,221924,30279,3209266,1474349,4683615,2583462,1371811,928462,1003.0,61.0,0.8059701492537313,31.0,69.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1542688,1349467,2046051,1713405,87522,11446,1268,19560,1929,0,1066289,149034,869721,230962,596591,685215,811501,517425,558090,45937,3445721,556902,4002623,2249130,1068243,542669,954.0,73.0,0.9210526315789473,14.0,86.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1257238,949591,3491139,244723,24979,2086,332,312,115,877236,288044,8831,926768,340372,453505,482842,463403,293493,256633,35312,2325560,1280393,3605953,1940234,1031735,728494,1008.0,58.0,0.746268656716418,36.0,64.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,901640,728594,2595321,158887,33463,655,217,459,539,669262,201363,8628,668519,295639,346118,329630,238811,154774,160804,25456,1551232,875272,2426504,1530602,774583,477955,1011.0,58.0,0.8,36.0,64.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,1598959,1410759,4023678,307043,145598,1393,863,6320,906,909292,567042,30438,1163932,618101,692968,630603,531821,312753,328454,54728,3169428,1352499,4521927,2340943,1284630,833959,992.0,67.0,0.8873239436619719,30.0,70.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,1246369,880792,3328380,670737,33165,737,255,2235,434,783853,306982,10081,816721,521327,672951,466940,271828,152453,115504,19282,2220285,1517933,3738218,2368684,1053618,609027,988.0,52.0,0.7213114754098361,41.0,59.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,1158386,782260,3673456,334172,21345,658,290,388,267,848963,161052,6153,757821,419379,596134,441585,308575,169083,98227,16121,2049104,1604319,3653423,2360874,1027525,637430,977.0,48.0,0.6964285714285714,44.0,56.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,953406,683731,2637313,342449,34301,1309,554,457,217,593653,195479,8635,604719,324267,503713,481984,373729,201928,127493,16466,2029580,1199818,3229398,1735769,779738,509368,992.0,54.0,0.7142857142857143,37.0,63.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,1160757,840262,3249231,188646,35025,937,241,250,132,833504,197433,7715,789225,369537,518669,471233,367424,238695,196134,27003,2188695,1294811,3483506,1932349,897137,651748,983.0,57.0,0.7424242424242424,37.0,63.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,790214,599596,2123426,391596,19653,2357,1847,542,146,565165,155133,5261,545913,269487,421399,338668,396396,223365,141850,13382,1804547,1041862,2846409,1399773,676401,437573,1040.0,54.0,0.7301587301587301,37.0,63.0
